"Country","Player","Goals","X1982","X1986","X2010","X2014","X1962","X1966","X1970","X1974","X1994","X1998","X1990","X2002","X1930","X1950","X2006","X1938","X1934","X1954","X1958","X1978"
"England","Ron Flowers",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Trevor Francis",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Derek Kevan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"England","Martin Peters",2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Bryan Robson",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Alan Shearer",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"England","Darren Anderton",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"England","Peter Beardsley",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Sol Campbell",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"England","Allan Clarke",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Joe Cole",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"England","Peter Crouch",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"England","Jermain Defoe",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Rio Ferdinand",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"England","Jimmy Greaves",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Johnny Haynes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"England","Emile Heskey",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"England","Gerry Hitchens",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Wilf Mannion",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"England","Paul Mariner",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Stan Mortensen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"England","Jimmy Mullen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"England","Alan Mullery",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Wayne Rooney",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Paul Scholes",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"England","Daniel Sturridge",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Matthew Upson",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Dennis Wilshaw",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"England","Mark Wright",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"England","Own goals",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"France","Just Fontaine",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"France","Thierry Henry",6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
"France","Michel Platini",5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"France","Zinédine Zidane",5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
"France","Raymond Kopa",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"France","Dominique Rocheteau",4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"France","Karim Benzema",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Bernard Genghini",3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Alain Giresse",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Jean Nicolas",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"France","Roger Piantoni",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"France","André Maschinot",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"France","Jean-Pierre Papin",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Emmanuel Petit",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"France","Didier Six",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Yannick Stopyra",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Lilian Thuram",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"France","Patrick Vieira",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"France","Jean Vincent",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"France","Maryan Wisnieski",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"France","Manuel Amoros",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Marc Berdoll",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"France","Laurent Blanc",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"France","Maxime Bossis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Alain Couriol",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Héctor De Bourgoing",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Youri Djorkaeff",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"France","Yvon Douis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"France","Christophe Dugarry",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"France","Luis Fernández",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Jean-Marc Ferreri",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","René Girard",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Olivier Giroud",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Gérard Hausser",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Oscar Heisserer",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"France","Bernard Lacombe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"France","Marcel Langiller",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"France","Lucien Laurent",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"France","Bixente Lizarazu",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
